IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet,Voltage Rating (AC),Series,Length,Width,Height,Mounting Type,Package/Case,Polarization,Lead Spacing
CAP-2005-0004,EEU-FR1E151,Panasonic,CAP ALUM POL  20% 25V RADIAL 150u,Device:C_Polarized_US,g-cap:CP_Radial_D6.3mm_H11.0mm_P2.50mm,150u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf,N/A,FR-A,6.3,6.3,11.2,Through Hole,Radial,Polar,2.5mm
CAP-2005-0005,EEU-FR1E221,Panasonic,CAP ALUM POL  20% 25V RADIAL 220u,Device:C_Polarized_US,g-cap:CP_Radial_D8.0mm_H11.5mm_P3.50mm,220u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf,N/A,FR-A,8,8,11.5,Through Hole,Radial,Polar,3.5mm
CAP-2005-0006,EEU-FR1E331,Panasonic,CAP ALUM POL  20% 25V RADIAL 330u,Device:C_Polarized_US,g-cap:CP_Radial_D8.0mm_H11.5mm_P3.50mm,330u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf,N/A,FR-A,8,8,11.5,Through Hole,Radial,Polar,3.5mm
CAP-2005-0007,EEU-FR1E471YB,Panasonic,CAP ALUM POL  20% 25V RADIAL 470u,Device:C_Polarized_US,g-cap:CP_Radial_D10.0mm_H12.5mm_P5.00mm,470u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf,N/A,FR-A,10,10,12.5,Through Hole,Radial,Polar,5mm
CAP-2006-001U,UDB1H010MPM,Nichicon,CAP ALUM BI-POL 20% 50V RADIAL 1u,Device:C,g-cap:CP_Radial_D8.0mm_H11.5mm_P3.50mm,1u,50V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-udb.pdf,,UDB,8,8,11.5,Through Hole,Radial,Bi-Polar,3.5mm
CAP-2006-001U,UDB1H1R5MPM,Nichicon,CAP ALUM BI-POL 20% 50V RADIAL 1.5u,Device:C,g-cap:CP_Radial_D8.0mm_H11.5mm_P3.50mm,1.5u,50V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-udb.pdf,,UDB,8,8,11.5,Through Hole,Radial,Bi-Polar,3.5mm
CAP-2006-001U,UDB1H2R2MPM,Nichicon,CAP ALUM BI-POL 20% 50V RADIAL 2.2u,Device:C,g-cap:CP_Radial_D10.0mm_H12.5mm_P5.00mm,2.2u,50V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-udb.pdf,,UDB,10,10,12.5,Through Hole,Radial,Bi-Polar,5mm
CAP-2006-001U,UDB1H3R3MPM,Nichicon,CAP ALUM BI-POL 20% 50V RADIAL 3.3u,Device:C,g-cap:CP_Radial_D10.0mm_H16.0mm_P5.00mm,3.3u,50V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-udb.pdf,,UDB,10,10,16,Through Hole,Radial,Bi-Polar,5mm
CAP-2006-001U,UDB1H4R7MPM,Nichicon,CAP ALUM BI-POL 20% 50V RADIAL 4.7u,Device:C,g-cap:CP_Radial_D10.0mm_H20.0mm_P5.00mm,4.7u,50V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-udb.pdf,,UDB,10,10,20,Through Hole,Radial,Bi-Polar,5mm
CAP-2006-001U,UDB1H6R8MHM,Nichicon,CAP ALUM BI-POL 20% 50V RADIAL 6.8u,Device:C,g-cap:CCP_Radial_D12.5mm_H20.0mm_P5.00mm,6.8u,50V,Aluminum Electrolytic,20.00%,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-udb.pdf,,UDB,12.5,12.5,20,Through Hole,Radial,Bi-Polar,5mm
